symptoms,disease
"Buerger's disease symptoms include:  Tingling or numbness in the hands or feet. Pale, reddish or blue-tinted hands or feet. Pain that may come and go in your legs and feet or in your arms and hands. This pain may occur when you use your hands or feet and eases when you stop that activity (claudication), or when you're at rest. Inflammation along a vein just below the skin's surface (due to a blood clot in the vein). Fingers and toes that turn pale when exposed to cold (Raynaud's phenomenon). Painful open sores on your fingers and toes. ",Buergers Disease
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration",Hypertension 
"The four main characteristics of Henoch-Schonlein purpura include:  Rash (purpura). Reddish-purple spots that look like bruises develop on the buttocks, legs and feet. The rash can also appear on the arms, face and trunk and may be worse in areas of pressure, such as the sock line and waistline. Swollen, sore joints (arthritis). People with Henoch-Schonlein purpura often have pain and swelling around the joints — mainly in the knees and ankles. Joint pain sometimes precedes the classical rash by one or two weeks. These symptoms subside when the disease clears and leave no lasting damage. Digestive tract symptoms. Many children with Henoch-Schonlein purpura develop belly pain, nausea, vomiting and bloody stools. These symptoms sometimes occur before the rash appears. Kidney involvement. Henoch-Schonlein purpura can also affect the kidneys. In most cases, this shows up as protein or blood in the urine, which you may not even know is there unless you have a urine test done. Usually this goes away once the illness passes, but some people develop persistent kidney disease. ",Henoch Schonlein Purpura
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Alcoholic Hepatitis
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Hyperthyroidism
"I've been having a headache that feels like a tight band around my head, and I've also been having chest pain and dizziness.",Hypertension
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Aids
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",Urinary Tract Infection
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",Typhoid
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts",Aids
"Some carcinoid tumors don't cause any signs or symptoms. When they do occur, signs and symptoms are usually vague and depend on the location of the tumor. Carcinoid tumors in the lungs Signs and symptoms of carcinoid lung tumors include:  Chest pain Wheezing Shortness of breath Diarrhea Redness or a feeling of warmth in your face and neck (skin flushing) Weight gain, particularly around the midsection and upper back Pink or purple marks on the skin that look like stretch marks  Carcinoid tumors in the digestive tract Signs and symptoms of carcinoid tumors in the digestive tract include:  Abdominal pain Diarrhea Nausea, vomiting and inability to pass stool due to intestinal blockage (bowel obstruction) Rectal bleeding Rectal pain Redness or a feeling of warmth in your face and neck (skin flushing) ",Carcinoid Tumors
I have been feeling very sick. I have been vomiting and have a high fever. My skin has turned yellow and my urine is dark. I have also been experiencing abdominal pain.,Jaundice
"skin_rash,pus_filled_pimples,blackheads,scurring",Acne
"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections",Hepatitis B
"Carpal tunnel syndrome symptoms usually start gradually and include:   Tingling or numbness. You may notice tingling and numbness in the fingers or hand. Usually the thumb and index, middle or ring fingers are affected, but not the little finger. You might feel a sensation like an electric shock in these fingers. The sensation may travel from the wrist up the arm. These symptoms often occur while holding a steering wheel, phone or newspaper, or may wake you from sleep. Many people ""shake out"" their hands to try to relieve their symptoms. The numb feeling may become constant over time.  Weakness. You may experience weakness in the hand and drop objects. This may be due to the numbness in the hand or weakness of the thumb's pinching muscles, which are also controlled by the median nerve. ",Carpal Tunnel Syndrome
"muscle_wasting,patches_in_throat,high_fever",Aids
"vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching",Peptic Ulcer Diseae
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Gerd
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Hepatitis D
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",Fungal Infection
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",Urinary Tract Infection
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"Signs and symptoms of pheochromocytomas often include:  High blood pressure Headache Heavy sweating Rapid heartbeat Tremors Pallor Shortness of breath Panic attack-type symptoms  Less common signs or symptoms may include:  Anxiety or sense of doom Blurry vision Constipation Weight loss  Symptomatic spells The symptoms of pheochromocytoma may be constant, or they may occur, or get stronger, occasionally. These spells can happen because of activities or conditions, foods high in a substance that affects blood pressure (tyramine), and medications. Certain activities or conditions can make symptoms worse, such as: Certain activities or conditions  Physical hard work Anxiety or stress Changes in body position, such as going from sitting or lying down to standing Labor and delivery Surgery and a drug that causes you to be in a sleep-like state during surgery (anesthesia)  Foods high in tyramine, a substance that affects blood pressure, also can make symptoms worse. Tyramine is common in foods that are fermented, aged, pickled, cured, overripe or spoiled. These foods include: Foods high in tyramine,  Some cheeses Some beers and wines Chocolate Dried or smoked meats  Certain medications that can make symptoms worse include: Certain medications  Monoamine oxidase inhibitors (MAOIs), such as phenelzine (Nardil), tranylcypromine (Parnate) and isocarboxazid (Marplan) Stimulants, such as amphetamines or cocaine   When to see a doctor Although high blood pressure is a primary sign of a pheochromocytoma, most people who have high blood pressure don't have an adrenal tumor. Talk to your health care provider if any of these factors apply to you:  Difficulty controlling high blood pressure with current treatment Spells of worsening high blood pressure A family history of pheochromocytoma A family history of a related genetic disorder: multiple endocrine neoplasia, type 2 (MEN 2), von Hippel-Lindau disease, hereditary paraganglioma syndromes or neurofibromatosis 1 ",Pheochromocytoma
I have a high fever and a headache. My body hurts and I feel cold. I'm worried about my health.,Dengue
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Diabetes 
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"I've been coughing a lot and feeling really cold and tired. I have a fever, and it's hard for me to breathe. I've been sweating a lot and feeling weak and sick. I've had some thick, black phlegm.",Pneumonia
"muscle_wasting,high_fever,extra_marital_contacts",Aids
I have a silver-like powder on my back and elbows. My nails are slightly dented. My joints are experiencing excruciating discomfort. ,Psoriasis
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",Hepatitis A
"chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Chronic Cholestasis
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
